longname,shortnam,logmort0,risk,loggdp,campaign,source0,slave,latitude,neoeuro,asia,africa,other,edes1975,campaignsj,campaignsj2,mortnaval1,logmortnaval1,mortnaval2,logmortnaval2,mortjam,logmortjam,logmortcap250,logmortjam250,wandcafrica,malfal94,wacacontested,mortnaval2250,logmortnaval2250,mortnaval1250,logmortnaval1250
Bangladesh,BGD,4.2684379,5.1399999,6.8800001,1,1,0,.2667,0,1,0,0,0,1,1,71.410004,4.2684379,71.410004,4.2684379,71.410004,4.2684379,4.2684379,4.2684379,0,.12008,0,71.410004,4.2684379,71.410004,4.2684379
Canada,CAN,2.7788193,9.7299995,9.9899998,0,1,0,.66670001,1,0,0,0,98,0,0,16.1,2.7788193,16.1,2.7788193,16.1,2.7788193,2.7788193,2.7788193,0,0,0,16.1,2.7788193,16.1,2.7788193
Congo,COG,5.480639,4.6799998,7.4200001,0,1,1,.0111,0,0,1,0,0,0,0,240,5.480639,240,5.480639,240,5.480639,5.480639,5.480639,1,.94999999,0,240,5.480639,240,5.480639
Algeria,DZA,4.3592696,6.5,8.3900003,1,1,0,.31110001,0,0,1,0,0,1,1,78.199997,4.3592696,78.199997,4.3592696,78.199997,4.3592696,4.3592696,4.3592696,0,0,0,78.199997,4.3592696,78.199997,4.3592696
Egypt,EGY,4.2165623,6.77,7.9499998,1,1,0,.30000001,0,0,1,0,0,1,1,67.800003,4.2165623,67.800003,4.2165623,67.800003,4.2165623,4.2165623,4.2165623,0,0,0,67.800003,4.2165623,67.800003,4.2165623
Ethiopia,ETH,3.2580965,5.73,6.1100001,1,1,0,.0889,0,0,1,0,0,1,1,26,3.2580965,26,3.2580965,26,3.2580965,3.2580965,3.2580965,1,.551,0,26,3.2580965,26,3.2580965
Ghana,GHA,6.5042882,6.27,7.3699999,1,1,0,.0889,0,0,1,0,0,1,1,668,6.5042882,668,6.5042882,668,6.5042882,5.521461,5.521461,1,.94999999,0,250,5.521461,250,5.521461
Gambia,GMB,7.2930179,8.2700005,7.27,1,1,0,.1476,0,0,1,0,0,1,1,1470,7.2930179,1470,7.2930179,1470,7.2930179,5.521461,5.521461,1,.94999999,0,250,5.521461,250,5.521461
Indonesia,IDN,5.1357985,7.5900002,7.3299999,1,1,0,.055599999,0,1,0,0,0,1,1,170,5.1357985,170,5.1357985,170,5.1357985,5.1357985,5.1357985,0,.17873,0,170,5.1357985,170,5.1357985
India,IND,3.8842406,8.2700005,7.3299999,0,1,0,.22220001,0,1,0,0,0,0,0,48.630001,3.8842406,48.630001,3.8842406,48.630001,3.8842406,3.8842406,3.8842406,0,.23596001,0,48.630001,3.8842406,48.630001,3.8842406
Jamaica,JAM,4.8675346,7.0900002,8.1899996,0,1,0,.2017,0,0,0,0,10,0,1,130,4.8675346,130,4.8675346,130,4.8675346,4.8675346,4.8675346,0,0,0,130,4.8675346,130,4.8675346
Kenya,KEN,4.9767337,6.0500002,7.0599999,0,1,1,.0111,0,0,1,0,0,0,0,145,4.9767337,145,4.9767337,145,4.9767337,4.9767337,4.9767337,1,.79799998,0,145,4.9767337,145,4.9767337
Sri Lanka,LKA,4.2456341,6.0500002,7.73,0,1,0,.077799998,0,1,0,0,0,0,1,69.800003,4.2456341,69.800003,4.2456341,69.800003,4.2456341,4.2456341,4.2456341,0,.138,0,69.800003,4.2456341,69.800003,4.2456341
Madagascar,MDG,6.2842088,4.4499998,6.8400002,1,1,0,.22220001,0,0,1,0,0,1,1,536.03998,6.2842088,536.03998,6.2842088,536.03998,6.2842088,5.521461,5.521461,1,.94999999,0,250,5.521461,250,5.521461
Mexico,MEX,4.2626801,7.5,8.9399996,1,1,0,.25560001,0,0,0,0,15.000001,1,1,71,4.2626801,71,4.2626801,71,4.2626801,4.2626801,4.2626801,0,.00042,0,71,4.2626801,71,4.2626801
Mali,MLI,7.986165,4,6.5700002,1,1,0,.18889999,0,0,1,0,0,1,1,2940,7.986165,2940,7.986165,2940,7.986165,5.521461,5.521461,1,.94050002,0,250,5.521461,250,5.521461
Malta,MLT,2.7911651,7.23,9.4300003,0,1,0,.3944,0,0,0,1,100,0,0,16.299999,2.7911651,16.299999,2.7911651,16.299999,2.7911651,2.7911651,2.7911651,0,,0,16.299999,2.7911651,16.299999,2.7911651
Malaysia,MYS,2.8735647,7.9499998,8.8900003,0,1,0,.025599999,0,1,0,0,0,0,1,17.700001,2.8735647,17.700001,2.8735647,17.700001,2.8735647,2.8735647,2.8735647,0,.23331,0,17.700001,2.8735647,17.700001,2.8735647
Nigeria,NGA,7.6029005,5.5500002,6.8099999,1,1,0,.1111,0,0,1,0,0,1,1,2004,7.6029005,2004,7.6029005,2004,7.6029005,5.521461,5.521461,1,.94999999,0,250,5.521461,250,5.521461
New Zealand,NZL,2.1459312,9.7299995,9.7600002,0,1,0,.45559999,1,0,0,1,91.699997,1,1,8.5500002,2.1459312,8.5500002,2.1459312,8.5500002,2.1459312,2.1459312,2.1459312,0,0,0,8.5500002,2.1459312,8.5500002,2.1459312
Sudan,SDN,4.4796071,4,7.3099999,1,1,0,.16670001,0,0,1,0,0,1,1,88.199997,4.4796071,88.199997,4.4796071,88.199997,4.4796071,4.4796071,4.4796071,1,.93099999,0,88.199997,4.4796071,88.199997,4.4796071
Senegal,SEN,5.1038828,6,7.4000001,0,1,0,.1556,0,0,1,0,0,0,1,164.66,5.1038828,164.66,5.1038828,164.66,5.1038828,5.1038828,5.1038828,1,.94999999,0,164.66,5.1038828,164.66,5.1038828
Sierra Leone,SLE,6.1800165,5.8200002,6.25,1,1,0,.092200004,0,0,1,0,0,1,1,483,6.1800165,483,6.1800165,483,6.1800165,5.521461,5.521461,1,.94999999,0,250,5.521461,250,5.521461
Trinidad and Tobago,TTO,4.4426513,7.4499998,8.7700005,0,1,0,.1222,0,0,0,0,40,0,1,85,4.4426513,85,4.4426513,85,4.4426513,4.4426513,4.4426513,0,0,0,85,4.4426513,85,4.4426513
Tunisia,TUN,4.1431346,6.4499998,8.4799995,1,1,0,.37779999,0,0,1,0,0,1,1,63,4.1431346,63,4.1431346,63,4.1431346,4.1431346,4.1431346,0,0,0,63,4.1431346,63,4.1431346
USA,USA,2.7080503,10,10.22,0,1,0,.42219999,1,0,0,0,83.600006,0,1,15,2.7080503,15,2.7080503,15,2.7080503,2.7080503,2.7080503,0,0,0,15,2.7080503,15,2.7080503
Vietnam,VNM,4.9416423,6.4099998,7.2800002,1,1,0,.1778,0,1,0,0,0,1,1,140,4.9416423,140,4.9416423,140,4.9416423,4.9416423,4.9416423,0,.70109999,0,140,4.9416423,140,4.9416423
South Africa,ZAF,2.74084,6.8600001,8.8900003,0,1,0,.3222,0,0,1,0,16,0,1,15.5,2.74084,15.5,2.74084,15.5,2.74084,2.74084,2.74084,0,.1045,0,15.5,2.74084,15.5,2.74084
